worms_sciname,worms_aphiaid,rank,phylum,class,subclass,order,family,genus,year,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,depth,taxonRemarks,verbatim_obis,terrestrial_only
Chone magna,332682,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,NA,NA,NA,NA,Monterey Bay NMS,37.91557,-123.4218,136,Originally identified as 'Chone magna',Chone magna,0
Lepidonotus,129496,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Lepidonotus,1998,NA,NA,NA,NA,47.9900016785,-122.669998169,45.5,NA,Lepidonotus,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,2003,NA,NA,NA,NA,43.9329986572,-124.314002991,102,NA,Pholoe sp n1,0
Naineris dendritica,334057,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Naineris,2003,NA,NA,NA,NA,32.7859992981,-117.250999451,3,NA,Naineris dendritica,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,San Francisco Bay,37.75237,-122.2176,1.2,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Pholoe minuta,130603,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,1976,NA,NA,NA,NA,66.395,-162.0983,5,NA,Pholoe minuta,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,1999,NA,NA,NA,NA,47.1199989319,-122.910003662,11,NA,Pholoe sp. cmplx,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,33.5979995728,-118.04599762,38,NA,Mediomastus sp,0
Sphaerosyllis californiensis,332003,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Sphaerosyllis,1999,NA,NA,NA,NA,47.25,-122.589996338,50.5,NA,Sphaerosyllis californiensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,North Hill Street,32.728619,-117.264999,9.6,NA,Laminaria,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,34.3050003052,-119.414001465,29,NA,Macoma sp,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2003,NA,NA,NA,NA,37.6230010986,-122.932998657,91,NA,Glycinde armigera,0
Natopolynoe kensmithi,329443,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Natopolynoe,1979,NA,NA,NA,California,33.306666667,-118.594,1300,NA,Natopolynoe kensmithi,0
Tresus,367775,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Tresus,1960,NA,NA,NA,NA,54.1800003052,-131.440002441,10,NA,Tresus,0
Notomastus,129220,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,34.1339988708,-119.958000183,173,NA,Notomastus sp a,0
Compsomyax subdiaphana,507527,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Compsomyax,2003,NA,NA,NA,NA,46.53099823,-124.330001831,72,NA,Compsomyax subdiaphana,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,NA,NA,NA,NA,Monterey Bay NMS,37.7112,-123.1265,110,Originally identified as 'Decamastus gracilis',Decamastus gracilis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Ft Ross,38.510601,-123.24506399999999,6.1,NA,Laminaria,0
Notomastus,129220,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,34.1049995422,-119.195999146,29,NA,Notomastus sp a,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,33.6360015869,-118.197998047,33,NA,Mediomastus sp,0
Euchone limnicola,332800,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,2000,NA,NA,NA,NA,37.9300003052,-122.410003662,8,NA,Euchone limnicola,0
Gymnonereis crosslandi,333515,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Gymnonereis,2003,NA,NA,NA,NA,34.1160011292,-119.935997009,105,NA,Gymnonereis crosslandi,0
Macoma carlottensis,420876,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,47.7939987183,-124.897003174,103,NA,Macoma carlottensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Judith Reserve San Miguel Island,34.023281,-120.440453,12,NA,Laminaria,0
Eteone californica,327523,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,2002,NA,NA,NA,NA,45.5069999695,-123.93800354,NA,NA,Eteone californica,0
Cooperella subdiaphana,507459,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Cooperella,2003,NA,NA,NA,NA,33.4280014038,-117.644996643,12,NA,Cooperella subdiaphana,0
Macoma elimata,582757,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,46.3370018005,-124.392997742,110,NA,Macoma elimata,0
Chone,129525,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,2003,NA,NA,NA,NA,34.013999939,-118.592002869,34,NA,Chone sp b,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,San Francisco Bay,37.90815,-122.3896,10.1,Originally identified as 'Glycinde armigera',Glycinde armigera,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,San Francisco Bay,38.02733,-122.3539,5.2,Originally identified as 'Glycinde armigera',Glycinde armigera,0
Ruditapes philippinarum,231750,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Ruditapes,2002,NA,NA,NA,NA,46.4920005798,-123.991996765,NA,NA,Venerupis philippinarum,0
Glycera capitata,130118,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,1988,NA,NA,NA,"Graham Island, Queen Charlotte City  Bearskin Bay, E of Spruce Pt (=MacMillan Pt).",53.2299995422,-132.059997559,0.1,NA,Glycera capitata,0
Phyllodoce groenlandica,334506,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,NA,NA,NA,NA,Puget Sound,47.7991,-122.857,14.8,Originally identified as 'Phyllodoce groenlandica',Phyllodoce groenlandica,0
Macoma carlottensis,420876,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,32.7509994507,-117.387001038,342,NA,Macoma carlottensis,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,46.5279998779,-124.262001038,55,NA,Macoma sp,0
Syllis heterochaeta,195998,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,NA,NA,NA,NA,Puget Sound,48.519,-122.578055,20,Originally identified as 'Ehlersia heterochaeta',Ehlersia heterochaeta,0
Mya arenaria,140430,species,Mollusca,Bivalvia,Autobranchia,Myida,Myidae,Mya,NA,NA,NA,NA,San Francisco Bay,37.46292,-122.0263,1.1,Originally identified as 'Mya arenaria',Mya arenaria,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,1998,NA,NA,NA,NA,47.7099990845,-122.620002747,17,NA,Leitoscoloplos pugettensis,0
Notomastus hemipodus,157504,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,1999,NA,NA,NA,NA,48.3199996948,-124.680000305,18,NA,Notomastus hemipodus,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,1999,NA,NA,NA,NA,40.7200012207,-124.237998962,4,NA,Pholoe sp n1,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Salta Roja,33.33783333,-118.47616670000001,8.1,NA,Laminaria,0
Phyllodoce hartmanae,330596,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,NA,NA,NA,NA,Puget Sound,48.487,-122.586666,6.5,Originally identified as 'Phyllodoce hartmanae',Phyllodoce hartmanae,0
Malmgreniella,129499,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Malmgreniella,NA,NA,NA,NA,Monterey Bay NMS,37.91152,-123.4249,137,Originally identified as 'Malmgreniella (LPIL)',Malmgreniella,0
Exogone,129654,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,NA,NA,Alaska,Prince William Sound,Green Island,60.3,-147.4075,NA,NA,Exogone,0
Syllis caeca,131421,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,1998,NA,NA,NA,NA,47.9900016785,-122.669998169,45.5,NA,Typosyllis caeca,0
Nutricola lordi,507786,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Nutricola,1985,NA,NA,NA,Area A-The Two Peaks,54.2999992371,-131.509994507,157,NA,Nutricola lordi,0
Syllis cornuta,157583,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,2003,NA,NA,NA,NA,45.6599998474,-124.11000061,82,NA,Typosyllis cornuta,0
Tenonia priops,334901,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Tenonia,1973,NA,NA,NA,"W Of Canal, 1/2 Mile N Of Perico Island",8.85888957977,-79.5255584717,NA,NA,Tenonia priops,0
Alitta succinea,234850,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Alitta,1972,NA,Sinaloa,NA,Mazatlan,23.1830005646,-106.432998657,NA,NA,Neanthes succinea,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,La Jolla Cove,32.852165,-117.26986699999999,10.4,NA,Laminaria,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,NA,NA,NA,NA,Puget Sound,47.59716,-122.3851,6.5,Originally identified as 'Leitoscoloplos pugettensis',Leitoscoloplos pugettensis,0
Glycymeris septentrionalis,504512,species,Mollusca,Bivalvia,Autobranchia,Arcida,Glycymerididae,Glycymeris,1986,NA,NA,NA,Area B-The Shellground,53.5499992371,-131.330001831,29,NA,Glycymeris subobsoleta,0
Exogone dwisula,335873,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,2003,NA,NA,NA,NA,34.0709991455,-120.32900238,51,NA,Exogone dwisula,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,2003,NA,NA,NA,NA,47.6199989319,-124.754997253,84,NA,Pholoe sp n1,0
Hemipodia simplex,333592,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Hemipodia,1985,NA,NA,NA,Area B-The Shellground,53.5499992371,-131.330001831,29,NA,Hemipodus borealis,0
Notomastus hemipodus,157504,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,36.9239997864,-122.238998413,92,NA,Notomastus hemipodus,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1980,NA,NA,NA,NA,9.80972003937,-84.7305603027,38,NA,Mediomastus californiensis,0
Typosyllis hyperioni,334985,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Typosyllis,2003,NA,NA,NA,NA,33.1650009155,-117.39099884,29,NA,Typosyllis hyperioni,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,33.7459983826,-118.216003418,25,NA,Mediomastus sp,0
Goniada maculata,130140,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,2003,NA,NA,NA,NA,46.78099823,-124.34400177,60,NA,Goniada maculata,0
Parexogone acutipalpa,1458664,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Parexogone,2003,NA,NA,NA,NA,32.766998291,-117.241996765,8,NA,Exogone acutipalpa,0
Nutricola tantilla,507789,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Nutricola,NA,NA,NA,NA,Puget Sound,47.62584,-122.5812,34.5,Originally identified as 'Nutricola tantilla',Nutricola tantilla,0
Pholoe,129439,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,NA,NA,NA,NA,Monterey Bay NMS,37.71223,-123.1377,121,Originally identified as 'Pholoe sp. N-1',Pholoe,0
Glycera nana,328132,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,2003,NA,NA,NA,NA,45.9580001831,-124.242996216,109,NA,Glycera nana,0
Nutricola lordi,507786,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Nutricola,1960,NA,NA,NA,off Tow Hill,54.1300010681,-131.850006104,40.2,NA,Nutricola lordi,0
Glycinde polygnatha,240626,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2000,NA,NA,NA,NA,38.0200004578,-122.330001831,14,NA,Glycinde polygnatha,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,NA,NA,NA,NA,Puget Sound,48.487,-122.586666,6.5,Originally identified as 'Pholoe glabra',Pholoe glabra,0
Eteone longa,130616,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,1975,NA,NA,NA,NA,58.3383,-161.3617,13,NA,Eteone longa,0
Euchone,129528,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,1986,NA,NA,NA,Area C-The Horseshoe,53.1899986267,-130.759994507,148,NA,Euchone nr. analis,0
Exogone dwisula,335873,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,2003,NA,NA,NA,NA,33.908000946,-118.567001343,114,NA,Exogone dwisula,0
Sphaerosyllis californiensis,332003,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Sphaerosyllis,NA,NA,NA,NA,San Francisco Bay,37.76842,-122.3816,7.9,Originally identified as 'Sphaerosyllis californiensis',Sphaerosyllis californiensis,0
Notomastus lineatus,129899,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,1986,NA,NA,NA,Area D-The Horseshoe,53.0800018311,-130.940002441,55,NA,Notomastus lineatus,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,1999,NA,NA,NA,NA,32.6300010681,-117.129997253,3.6,NA,Macoma,0
Tellina,138533,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Tellina,2003,NA,NA,NA,NA,33.7309989929,-118.192001343,15,NA,Tellina sp b,0
Macoma balthica,141579,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2002,NA,NA,NA,NA,47.4280014038,-122.869003296,NA,NA,Macoma balthica,0
Erinaceusyllis erinaceus,195953,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Erinaceusyllis,NA,NA,Alaska,Kachemak Bay,Outside Beach,59.464233,-151.7085,NA,NA,Erinaceusyllis erinaceus,0
Potamilla,129544,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Potamilla,NA,NA,Alaska,Kodiak Island,Akhiok Bay,56.946533,-154.12925,NA,NA,Potamilla,0
Kurtiella tumida,606421,species,Mollusca,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,Kurtiella,NA,NA,Alaska,Prince William Sound,Green Island,60.3,-147.4075,NA,NA,Kurtiella tumida,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,34.3129997253,-119.432998657,31,NA,Macoma sp,0
Phyllodoce,129455,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Phyllodoce,NA,NA,NA,NA,Puget Sound,47.62277,-122.5016,14.4,Originally identified as 'Phyllodoce (LPIL)',Phyllodoce,0
Harmothoe imbricata,130769,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Harmothoe,2002,NA,NA,NA,NA,59.2109985352,-151.82800293,4.3,NA,Harmothoe imbricata,0
Heteromastus filiformis,129884,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Heteromastus,2003,NA,NA,NA,NA,46.7690010071,-124.345001221,61,NA,Heteromastus filiformis,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,2003,NA,NA,NA,NA,32.9990005493,-117.301002502,42,NA,Pholoe glabra,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,38.4650001526,-123.347999573,103,NA,Mediomastus sp,0
Eteone,129443,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,NA,NA,Alaska,Prince William Sound,Knight Island,60.484444,-147.728,NA,NA,Eteone,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,1986,NA,NA,NA,Area C-The Horseshoe,53.1899986267,-130.800003052,130,NA,Leitoscoloplos pugettensis,0
Glycinde polygnatha,240626,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2002,NA,NA,NA,NA,45.5289993286,-123.916999817,NA,NA,Glycinde polygnatha,0
Leukoma staminea,507737,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Leukoma,1992,NA,NA,NA,NA,52.4599990845,-131.470001221,0,NA,Protothaca staminea,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,NA,NA,NA,NA,Monterey Bay NMS,37.71223,-123.1377,121,Originally identified as 'Mediomastus (LPIL)',Mediomastus,0
Glycinde armigera,240633,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,Puget Sound,47.90681,-122.3368,191,Originally identified as 'Glycinde armigera',Glycinde armigera,0
Glycera oxycephala,130126,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,1980,NA,NA,NA,NA,9.73332977295,-84.9902801514,22,NA,Glycera oxycephala,0
Hesionura coineaui difficilis,335789,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Hesionura,2003,NA,NA,NA,NA,47.2449989319,-124.502998352,55,NA,Hesionura coineaui difficilis,0
Ameritella cadieni,878478,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Ameritella,2003,NA,NA,NA,NA,33.7220001221,-118.065002441,4,NA,Tellina cadieni,0
Kurtiella tumida,606421,species,Mollusca,Bivalvia,Autobranchia,Galeommatida,Lasaeidae,Kurtiella,1999,NA,NA,NA,NA,47.1199989319,-122.910003662,11,NA,Rochefortia tumida,0
Exogone (Parexogone) molesta,333450,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,NA,NA,NA,NA,Puget Sound,48.016,-122.272222,16,Originally identified as 'Exogone molesta',Exogone (Parexogone) molesta,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1985,NA,NA,NA,Area A-The Two Peaks,54.2900009155,-131.5,129,NA,Mediomastus,0
Glycinde picta,240625,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,San Francisco Bay,37.49417,-122.0874,2.5,Originally identified as 'Glycinde picta',Glycinde picta,0
Eteone columbiensis,327525,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,1999,NA,NA,NA,NA,48.0200004578,-122.849998474,16.8,NA,Eteone columbiensis,0
Euchone analis,130903,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,1985,NA,NA,NA,NA,53.5400009155,-131.279998779,29,NA,Euchone analis,0
Glycymeris septentrionalis,504512,species,Mollusca,Bivalvia,Autobranchia,Arcida,Glycymerididae,Glycymeris,NA,NA,Washington,San Juan County,"San Juan channel, off S tip of Brown Island",48.7248333333,-122.9803333333,NA,NA,Glycymeris subobsoleta,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,North Hill Street,32.728619,-117.264999,9.8,NA,Laminaria,0
Macoploma yoldiformis,879988,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoploma,2003,NA,NA,NA,NA,33.9280014038,-118.543998718,65,NA,Macoma yoldiformis,0
Chone minuta,326735,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,2003,NA,NA,NA,NA,34.0530014038,-119.528999329,78,NA,Chone minuta,0
Nutricola tantilla,507789,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Nutricola,NA,NA,NA,NA,Puget Sound,47.60889,-122.6635,18.3,Originally identified as 'Nutricola tantilla',Nutricola tantilla,0
Heteromastus,129214,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Heteromastus,2000,NA,NA,NA,NA,37.6500015259,-122.349998474,21,NA,Heteromastus sp.,0
Tellina,138533,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Tellina,NA,NA,Guerrero,"NA","2 mi SE of Puerto Marques, Beach",16.779433,-99.845184,NA,NA,Tellina,0
Jasmineira,129533,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Jasmineira,2003,NA,NA,NA,NA,32.6599998474,-117.414001465,394,NA,Jasmineira sp b,0
Malmgreniella baschi,329198,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Malmgreniella,2003,NA,NA,NA,NA,32.6629981995,-117.341003418,149,NA,Malmgreniella baschi,0
Glycinde,129299,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,NA,NA,NA,NA,San Francisco Bay,37.49703,-122.1015,6.4,Originally identified as 'Glycinde (LPIL)',Glycinde,0
Macoma,138531,genus,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2003,NA,NA,NA,NA,47.9140014648,-124.908996582,91,NA,Macoma sp,0
Nereis pelagica,130404,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,NA,NA,Alaska,Prince William Sound,Green Island,60.3,-147.4075,NA,NA,Nereis pelagica,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,1997,NA,NA,NA,NA,48.5299987793,-122.540000916,5.5,NA,Mediomastus californiensis,0
Mya pseudoarenaria,156249,species,Mollusca,Bivalvia,Autobranchia,Myida,Myidae,Mya,NA,NA,NA,NA,Puget Sound,48.007,-122.263611,4.5,Originally identified as 'Mya pseudoarenaria',Mya pseudoarenaria,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,NA,NA,NA,NA,San Francisco Bay,37.74703,-122.3227,9.1,Originally identified as 'Mediomastus californiensis',Mediomastus californiensis,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,La Jolla Cove,32.852165,-117.26986699999999,9.9,NA,Laminaria,0
Euchone,129528,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,2002,NA,NA,NA,NA,58.3470001221,-152.886001587,71.7,NA,Euchone sp,0
Notomastus hemipodus,157504,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,1999,NA,NA,NA,NA,47.9980010986,-122.874000549,1,NA,Notomastus hemipodus,0
Capitella,129211,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Capitella,2002,NA,NA,NA,NA,45.3839988708,-123.956001282,NA,NA,Capitella capitata cmplx,0
Sthenelais tertiaglabra,332186,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sthenelais,2003,NA,NA,NA,NA,32.6629981995,-117.341003418,149,NA,Sthenelais tertiaglabra,0
Glycera oxycephala,130126,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,2003,NA,NA,NA,NA,47.2449989319,-124.502998352,55,NA,Glycera oxycephala,0
Glycinde polygnatha,240626,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2002,NA,NA,NA,NA,43.4459991455,-124.228996277,NA,NA,Glycinde polygnatha,0
Nereis procera,329725,species,Annelida,Polychaeta,Errantia,Phyllodocida,Nereididae,Nereis,2003,NA,NA,NA,NA,34.263999939,-119.371002197,25,NA,Nereis procera,0
Erinaceusyllis erinaceus,195953,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Erinaceusyllis,NA,NA,Alaska,Prince William Sound,Knight Island,60.484444,-147.728,NA,NA,Erinaceusyllis erinaceus,0
Pholoe glabra,330542,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Pholoe,NA,NA,NA,NA,Puget Sound,47.72183,-122.6421,11,Originally identified as 'Pholoe glabra',Pholoe glabra,0
Chone,129525,genus,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Chone,2003,NA,NA,NA,NA,33.4399986267,-117.694000244,21,NA,Chone sp,0
Resania,492535,genus,Mollusca,Bivalvia,Autobranchia,Venerida,Mactridae,Resania,NA,US,NA,NA,Estero,35.471779,-121.021248,9.6,NA,Laminaria,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,34.9070014954,-120.73500061,57,NA,Mediomastus sp,0
Myrianida,129659,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Myrianida,2003,NA,NA,NA,NA,33.952999115,-119.68699646,64,NA,Autolytus sp,0
Eteone,129443,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,2000,NA,NA,NA,NA,48.5699996948,-123.330001831,9.5,NA,Eteone sp,0
Ameritella carpenteri,878479,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Ameritella,2003,NA,NA,NA,NA,34.1020011902,-120.141998291,102,NA,Tellina carpenteri,0
Eteone californica,327523,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,1999,NA,NA,NA,NA,39.2280006409,-123.776000977,1,NA,Eteone californica,0
Glycera americana,157388,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Glycera,1998,NA,NA,NA,NA,52.4700012207,-131.449996948,54,NA,Glycera americana,0
Decamastus gracilis,326885,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Decamastus,2003,NA,NA,NA,NA,33.4640007019,-117.762001038,139,NA,Decamastus gracilis,0
Euchone limnicola,332800,species,Annelida,Polychaeta,Sedentaria,Sabellida,Sabellidae,Euchone,NA,NA,NA,NA,San Francisco Bay,37.90387,-122.4014,8.2,Originally identified as 'Euchone limnicola',Euchone limnicola,0
